Depart,Return,Year,Length_days,VID,Passengers
09/22/2009 1:30 PM,09/22/2009 3:30 PM,2009,0.08,073,12
09/23/2009 1:30 PM,09/23/2009 3:30 PM,2009,0.08,046,12
09/24/2009 1:30 PM,09/24/2009 3:30 PM,2009,0.08,073,12
09/25/2009 1:30 PM,09/25/2009 3:30 PM,2009,0.08,082,7
09/28/2009 1:30 PM,09/28/2009 3:30 PM,2009,0.08,046,12
09/29/2009 1:30 PM,09/29/2009 3:30 PM,2009,0.08,073,12
09/30/2009 1:30 PM,09/30/2009 3:30 PM,2009,0.08,046,12
10/01/2009 1:30 PM,10/01/2009 3:30 PM,2009,0.08,073,12
10/02/2009 1:30 PM,10/02/2009 3:30 PM,2009,0.08,046,12
10/05/2009 1:30 PM,10/05/2009 3:30 PM,2009,0.08,046,12
10/06/2009 1:30 PM,10/06/2009 3:30 PM,2009,0.08,046,12
10/07/2009 1:30 PM,10/07/2009 3:30 PM,2009,0.08,046,12
10/08/2009 1:30 PM,10/08/2009 3:30 PM,2009,0.08,046,12
10/09/2009 1:30 PM,10/09/2009 3:30 PM,2009,0.08,046,12
10/12/2009 1:30 PM,10/12/2009 3:30 PM,2009,0.08,046,12
10/13/2009 1:30 PM,10/13/2009 3:30 PM,2009,0.08,073,12
10/14/2009 1:30 PM,10/14/2009 3:30 PM,2009,0.08,046,12
10/19/2009 1:30 PM,10/19/2009 3:30 PM,2009,0.08,046,12
10/20/2009 1:30 PM,10/20/2009 3:30 PM,2009,0.08,073,12
10/21/2009 1:30 PM,10/21/2009 3:30 PM,2009,0.08,046,12
10/22/2009 1:30 PM,10/22/2009 3:30 PM,2009,0.08,073,12
10/23/2009 1:30 PM,10/23/2009 3:30 PM,2009,0.08,046,12
10/26/2009 1:30 PM,10/26/2009 3:30 PM,2009,0.08,046,12
10/27/2009 1:30 PM,10/27/2009 3:30 PM,2009,0.08,073,12
10/28/2009 1:30 PM,10/28/2009 3:30 PM,2009,0.08,046,12
10/29/2009 1:30 PM,10/29/2009 3:30 PM,2009,0.08,073,12
10/30/2009 1:30 PM,10/30/2009 3:30 PM,2009,0.08,046,12
11/02/2009 1:30 PM,11/02/2009 3:30 PM,2009,0.08,046,12
