Country,Region,Indicator,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Comoros,Africa,Life_expectancy,41.44243902,41.83953659,42.2377561,42.635,43.03270732,43.43426829,43.84560976,44.27119512,44.71204878,45.16821951,45.63178049,46.09336585,46.54758537,46.99153659,47.43073171,47.87570732,48.34292683,48.84529268,49.38919512,49.97412195,50.596,51.24434146,51.90312195,52.55736585,53.19756098,53.81919512,54.42229268,55.00936585,55.58092683,56.1305122,56.65360976,57.14521951,57.59934146,58.01346341,58.38258537,58.69717073,58.94717073,59.13558537,59.27092683,59.36568293,59.43890244,59.51014634,59.59892683,59.72080488,59.8887561,60.10978049,60.38831707,60.71234146,61.06729268,61.44419512,61.8305122,62.2127561,62.58297561,62.93217073,63.25685366,
Comoros,Africa,Internet_usage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,0.03787097,0.148162964,0.271740607,0.443068373,0.554869675,0.84818937,1.327327178,2,2.2,2.5,3,3.5,5.1,5.5,5.975296308,6.5,6.98,
"Congo, Dem. Rep.",Africa,Total_population,15248246,15637715,16041247,16461914,16903899,17369859,17861860,18378189,18913177,19458874,20009902,20563111,21120996,21690604,22282079,22902275,23556784,24242643,24948113,25656486,26357407,27049145,27741104,28448122,29190679,29985665,30829103,31721541,32688708,33763056,34962676,36309209,37783835,39314955,40804011,42183620,43424997,44558347,45647949,46788238,48048664,49449015,50971407,52602208,54314855,56089536,57926840,59834875,61809278,63845097,65938712,68087376,70291160,72552861,74877030,77266814
"Congo, Dem. Rep.",Africa,CO2_emissions,0.152228066,0.150781684,0.135558726,0.139445632,0.116926456,0.142290044,0.134675336,0.124706248,0.178181223,0.18769493,0.135611859,0.14408987,0.143061814,0.147250717,0.151241408,0.141381631,0.144925428,0.143850528,0.141840587,0.146357065,0.132865308,0.139635098,0.110772304,0.141533631,0.135797698,0.121435726,0.109549311,0.121495264,0.122948634,0.130114584,0.116420436,0.10341751,0.095790409,0.086743327,0.060751184,0.070325946,0.074817783,0.065672679,0.055509548,0.048043506,0.034266988,0.033667364,0.034963955,0.035413647,0.039360521,0.044326022,0.045578872,0.047312274,0.048411373,0.045604097,0.049328064,0.050302688,,,,
"Congo, Dem. Rep.",Africa,Life_expectancy,41.01804878,41.23353659,41.4515122,41.678,41.918,42.1804878,42.4724878,42.79197561,43.13346341,43.48895122,43.84292683,44.17690244,44.47639024,44.73736585,44.96036585,45.15685366,45.34536585,45.54536585,45.77087805,46.02487805,46.30287805,46.59287805,46.88036585,47.15234146,47.40731707,47.6527561,47.90370732,48.17014634,48.45158537,48.73702439,48.99297561,49.17492683,49.26141463,49.25341463,49.17241463,49.06592683,48.99695122,49.02446341,49.19243902,49.51741463,50.00287805,50.62934146,51.34680488,52.10678049,52.87926829,53.63829268,54.36782927,55.06441463,55.724,56.33707317,56.89614634,57.39863415,57.85407317,58.27192683,58.65919512,
"Congo, Dem. Rep.",Africa,Internet_usage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0.000108207,0.000211213,0.000413065,0.001009076,0.005902114,0.011475782,0.092790702,0.134914837,0.196208375,0.238037799,0.29605361,0.37,0.44,0.56,0.72,1.2,1.679961015,2.2,3,
"Congo, Rep.",Africa,Total_population,1013581,1039966,1067611,1096502,1126602,1157905,1190361,1224041,1259190,1296137,1335090,1376189,1419305,1464052,1509880,1556406,1603446,1651134,1699781,1749859,1801688,1855391,1910800,1967596,2025320,2083648,2142529,2202106,2262496,2323890,2386467,2450125,2514907,2581306,2649964,2721277,2795903,2873638,2953011,3031969,3109269,3183883,3256867,3331564,3412592,3503086,3604595,3715665,3832771,3950786,4066078,4177435,4286188,4394334,4504962,4620330
"Congo, Rep.",Africa,CO2_emissions,0.220689812,0.257403607,0.223260157,0.214033353,0.2376092,0.212184074,0.258768558,0.263631692,0.358199319,0.387597144,0.428474485,0.498281123,0.467642262,0.834062588,1.075900734,0.706820714,0.770701976,0.290937622,0.189845633,0.199081755,0.225919804,0.254955963,0.704306573,0.581473026,0.563089783,0.614203071,0.498054869,0.601145903,0.662897526,0.648540594,0.497852264,0.516347125,0.625527306,0.598072061,0.810902337,0.575394934,0.613810994,0.815416904,0.263258078,0.270915699,0.33730179,0.240713305,0.176770805,0.275171061,0.278308394,0.353815464,0.31028035,0.32666481,0.34155941,0.431598927,0.473472226,0.538098379,,,,
"Congo, Rep.",Africa,Life_expectancy,48.58163415,49.23004878,49.84395122,50.41885366,50.95229268,51.44136585,51.88865854,52.29821951,52.67707317,53.02919512,53.35953659,53.6725122,53.97,54.25541463,54.53119512,54.80285366,55.07641463,55.34890244,55.61390244,55.86490244,56.09087805,56.28280488,56.42917073,56.51843902,56.54217073,56.48785366,56.3485122,56.12670732,55.82946341,55.46385366,55.02897561,54.52239024,53.95912195,53.36265854,52.76392683,52.18885366,51.65982927,51.20219512,50.84736585,50.62826829,50.58987805,50.77319512,51.17929268,51.79421951,52.598,53.56153659,54.64782927,55.80131707,56.96507317,58.09363415,59.14312195,60.08517073,60.92390244,61.66639024,62.31114634,
"Congo, Rep.",Africa,Internet_usage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0.00352686,0.003469104,0.003415143,0.016791049,0.026354732,0.032223616,0.157249517,0.460014187,1.07750493,1.46342006,2.007990079,2.759704374,4.287509903,4.5,5,5.6,6.106695024,6.6,7.11,
